 Review , Score 
Kindly ponder if distance sensor or proximity sensor could be used in determining a car dent or damage on the car. ,{'neu': 0.738, 'compound': 0.0, 'pos': 0.131, 'neg': 0.131}
A distance sensor fixed in four directions of the car with a fixed detection of the range of motion to the peripheral or outer body of the car would determine any change or damage in the outer body upon an accident. ,{'neu': 0.855, 'compound': -0.743, 'pos': 0.0, 'neg': 0.145}
Such sensors would give peace of mind to a driver when a car is parked and unsupervised.,{'neu': 0.8, 'compound': 0.5423, 'pos': 0.2, 'neg': 0.0}
All people matter regardless of sexual preference . We really need to stop segregation by specialization.,{'neu': 0.785, 'compound': -0.3321, 'pos': 0.066, 'neg': 0.149}
Yes indeed. If everybody liked the same things, there would be no economy at all.,{'neu': 0.609, 'compound': 0.5106, 'pos': 0.279, 'neg': 0.112}
Jose Ameneiro,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Keep up the amazing work. The power of dreams.,{'neu': 0.519, 'compound': 0.7579, 'pos': 0.481, 'neg': 0.0}
Fernando Cardenas Robles,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Just because of the money. One thing is diversity,  which includes  tolerance with who thinks differently, and another is permisivity. ,{'neu': 0.896, 'compound': 0.296, 'pos': 0.104, 'neg': 0.0}
One thing is not to discriminate homosexuals  and another thing is to promote them. Then, to be consistent, they should do it for each minority, but I don't see it. See  what I mean? Just because of the money.,{'neu': 0.952, 'compound': 0.2023, 'pos': 0.048, 'neg': 0.0}
Kindly ponder if the left and right indicator lever in the car should be moved to the steering wheel for the following reasons: 1. ,{'neu': 0.878, 'compound': 0.4939, 'pos': 0.122, 'neg': 0.0}
The most common object we touch after steering wheel is indicator lever and it is placed behind the steering wheel. 2. The use of indicator lever requires upward and downward movement of index finger which is against the natural movement of the finger. 3. A touch button indicator on the steering wheel will ensure soft and gentle application of indicator and will ensure both hands on the wheel of the driver. 4. The indicator could be turned off with the turning of the steering wheel or a touch of opposite side of indicator button. ,{'neu': 0.892, 'compound': 0.8625, 'pos': 0.108, 'neg': 0.0}
Michael Angelone,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
That's a nice car! :-),{'neu': 0.271, 'compound': 0.6588, 'pos': 0.729, 'neg': 0.0}
Michael Angelone,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
The only thing that keeps any type of economic system afloat is diversity. ,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
If everyone were the same and liked the same things, there would be no trade and no economy at all.,{'neu': 0.702, 'compound': -0.1531, 'pos': 0.116, 'neg': 0.182}
Andrew Bethel,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Just focus on selling automobiles and stay out of politics!,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Jim Evans,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Does sex have to be a part of everything?,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Jane D'Amelio,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
For the 3rd year, Right Honda joined the Kwamie Lassiter Foundation and Phoenix Children's Hospital to celebrate World Sickle Cell Day.  ,{'neu': 0.844, 'compound': 0.5719, 'pos': 0.156, 'neg': 0.0}
World Sickle Cell Day is celebrated on June 19th of each year, is recognized globally and was created by the United Nations by resolution.  ,{'neu': 0.712, 'compound': 0.8176, 'pos': 0.288, 'neg': 0.0}
The mission is to celebrate every year World Sickle Cell Day in order to raise awareness of the disease in the world. There is a need for greater international cooperation, including through partnerships, to facilitate access to education, management, surveillance and treatment for sickle cell anemia. #WorldSickleCellDay #TeamHondaCares #TeamRightHonda,{'neu': 0.881, 'compound': 0.7351, 'pos': 0.119, 'neg': 0.0}
Shokir Mirsaidov,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Great car maker!,{'neu': 0.313, 'compound': 0.6588, 'pos': 0.687, 'neg': 0.0}
Anthony Cresegiona Jr,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Love both of mine.,{'neu': 0.417, 'compound': 0.6369, 'pos': 0.583, 'neg': 0.0}
Jeff Haraden,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
And without selling to Rental car companies!,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Love Honda,{'neu': 0.192, 'compound': 0.6369, 'pos': 0.808, 'neg': 0.0}
